year,player,surface,matches_tot,matches_w,perc_2nd_overall,perc_2nd_w,margin_2nd_w,matches_2nd_w
1991,Carl Uwe Steeb,Hard,11,5,17.90909090909091,18.8,5.200000000000001,1
1991,Hassan El Arousy,Clay,4,3,,,,0
1991,Hassan El Arousy,Hard,2,0,,,,0
1991,Michael Chang,Carpet,20,15,15.3125,15.833333333333334,4.416666666666668,4
1991,Michael Chang,Clay,8,6,23.5,26.0,6.25,1
1991,Michael Chang,Grass,4,2,17.75,13.0,-2.5,0
1991,Michael Chang,Hard,35,24,18.65714285714286,19.208333333333332,4.166666666666666,8
1991,John Ross,Hard,1,0,,,,0
1991,Ivan Lendl,Carpet,25,19,19.031529411764705,19.294117647058822,2.4117647058823515,7
1991,Ivan Lendl,Clay,5,3,16.6,15.666666666666666,3.0,2
1991,Ivan Lendl,Grass,4,2,20.5,20.0,-3.0,0
1991,Ivan Lendl,Hard,39,31,20.17948717948718,20.0,4.387096774193548,10
1991,Rikard Bergh,Carpet,1,0,,,,0
1991,Fernando Meligeni,Carpet,2,1,21.0,16.0,3.0,1
1991,Fernando Meligeni,Hard,2,1,12.5,15.0,6.0,1
1991,Zeeshan Ali,Grass,1,0,,,,0
1991,Thomas Buchmayer,Carpet,2,1,,,,0
1991,Thomas Buchmayer,Clay,2,1,19.0,22.0,8.0,0
1991,Thomas Buchmayer,Grass,2,1,,,,0
1991,Bent Ove Pedersen,Clay,3,2,,,,0
1991,Harold Solomon,Hard,1,0,,,,0
1991,Ryuso Tsujino,Carpet,1,0,,,,0
1991,John Fitzgerald,Grass,4,3,14.75,15.0,0.6666666666666661,1
1991,John Fitzgerald,Hard,8,2,11.524999999999999,12.5,4.0,1
1991,Martin Stringari,Clay,2,1,12.0,11.0,-3.0,0
1991,Jordi Arrese,Carpet,2,0,,,,0
1991,Jordi Arrese,Clay,47,30,9.483687943262412,9.833333333333334,-2.133333333333333,3
1991,Jordi Arrese,Grass,1,0,,,,0
1991,Jordi Arrese,Hard,8,6,8.875,9.166666666666666,-6.166666666666668,0
1991,Tarik Benhabiles,Clay,10,3,16.05,23.5,8.0,2
1991,Tarik Benhabiles,Hard,6,2,16.666666666666668,20.0,1.5,0
1991,Daniel Vacek,Clay,2,1,8.0,12.0,4.0,0
1991,Daniel Vacek,Hard,2,0,,,,0
1991,George Kalovelonis,Clay,3,0,,,,0
1991,Mario Rincon,Hard,2,1,,,,0
1991,Danny Sapsford,Clay,1,1,,,,0
1991,Danny Sapsford,Grass,3,1,23.0,11.0,2.0,0
1991,Danny Sapsford,Hard,2,1,24.0,29.0,6.0,1
1991,Brian Garrow,Carpet,1,0,,,,0
1991,Brian Garrow,Clay,1,0,,,,0
1991,Brian Garrow,Hard,12,2,11.833333333333334,17.0,1.0,1
1991,Peter Lundgren,Carpet,6,1,13.666666666666666,18.0,10.0,0
