year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
2002,Canada Masters,Hard,M,2.375,4.25,23.75,14.25,0.75,2.25,5.0,22.0,11.75,0.5,2.5,2.5,25.5,15.5,0.5,2.0,4.0,22.0,19.0,0.0
2002,Cincinnati Masters,Hard,M,2.5,4.25,24.25,22.0,0.75,2.0,4.0,22.5,16.25,0.75,2.5,5.0,26.0,9.0,0.5,2.0,3.0,25.0,17.0,0.0
2002,Roland Garros,Clay,G,3.75,7.0,37.25,14.25,0.625,3.75,7.0,38.5,13.75,0.5,3.5,7.0,32.0,16.5,0.0,4.0,12.0,32.0,22.0,0.0
2002,Wimbledon,Grass,G,4.25,3.875,44.625,163.25,0.875,4.75,4.5,47.0,18.25,0.75,4.0,3.5,38.5,16.5,1.0,3.0,12.0,24.0,1.0,1.0
2002,US Open,Hard,G,3.5,6.0,37.25,17.75,0.75,4.0,7.25,41.25,12.25,0.75,3.5,6.0,39.0,11.5,0.5,4.0,5.0,41.0,17.0,0.0
2002,Australian Open,Hard,G,4.0,6.75,41.75,37.25,0.5,3.0,5.25,26.75,15.5,1.0,5.0,2.5,48.5,14.5,0.5,4.0,2.0,42.0,18.0,0.0
2003,Madrid Masters,Hard,M,2.25,4.125,24.125,17.875,0.625,2.75,3.0,28.5,10.75,0.75,2.5,3.0,26.0,11.0,0.5,3.0,8.0,28.0,1.0,1.0
2003,Paris Masters,Carpet,M,1.875,3.5,20.75,44.5,0.5,2.25,5.25,21.25,60.5,0.5,2.5,3.0,27.0,111.0,0.0,3.0,6.0,34.0,31.0,1.0
2003,Miami Masters,Hard,M,2.0,4.75,18.75,28.625,0.75,3.0,2.75,33.75,7.25,0.75,2.0,6.0,18.0,3.5,1.0,2.0,6.0,18.0,2.0,1.0
2003,Indian Wells Masters,Hard,M,2.5,4.5,24.75,36.125,0.625,2.25,6.5,19.5,24.0,0.75,2.5,5.5,22.5,12.5,0.5,2.0,10.0,14.0,1.0,1.0
2003,Monte Carlo Masters,Clay,M,2.25,4.125,22.375,47.875,0.625,2.0,8.25,16.25,18.0,1.0,2.0,5.0,20.0,14.5,0.5,2.0,8.0,16.0,3.0,1.0
